Latitude,Longitude,UTC,Parameter,Unit,Value,RawConcentration,AQI,Category,SiteName,AgencyName,FullAQSCode,IntlAQSCode
39.739444,-75.558056,2026-01-01T00:00,PM2.5,UG/M3,5.7,5.9,32,1,MLK,Delaware Dept. of Natural Resources and Environment,100032004,840100032004
38.986672,-75.5568,2026-01-01T00:00,PM2.5,UG/M3,4.3,4.4,24,1,KILLENS,Delaware Dept. of Natural Resources and Environment,100010002,840100010002
39.155,-75.518056,2026-01-01T00:00,PM2.5,UG/M3,5.2,5.6,29,1,Dover,Delaware Dept. of Natural Resources and Environment,840100010003,840100010003
39.7611,-75.4919,2026-01-01T00:00,PM2.5,UG/M3,6.6,6.7,37,1,RIVER ROAD PARK; BELLEFONTE,Delaware Dept. of Natural Resources and Environment,100031003,840100031003
40.6119,-75.4325,2026-01-01T00:00,PM2.5,UG/M3,7.2,6.9,40,1,Allentown,Pennsylvania Dept. of Environmental Protection,420770004,840420770004
39.818715,-75.413973,2026-01-01T00:00,PM2.5,UG/M3,5.7,5.6,32,1,Marcus Hook,Pennsylvania Dept. of Environmental Protection,420450109,840420450109
39.8356,-75.3725,2026-01-01T00:00,PM2.5,UG/M3,6.4,6.1,36,1,Chester,Pennsylvania Dept. of Environmental Protection,420450002,840420450002
40.6281,-75.3411,2026-01-01T00:00,PM2.5,UG/M3,7.6,7.0,42,1,Freemansburg,Pennsylvania Dept. of Environmental Protection,420950025,840420950025
41.083099,-75.3283,2026-01-01T00:00,PM2.5,UG/M3,7.4,7.8,41,1,Swiftwater,Pennsylvania Dept. of Environmental Protection,420890002,840420890002
40.1122,-75.3092,2026-01-01T00:00,PM2.5,UG/M3,6.3,6.0,35,1,Norristown,Pennsylvania Dept. of Environmental Protection,420910013,840420910013
39.800339,-75.21212,2026-01-01T00:00,PM2.5,UG/M3,3.2,3.0,18,1,Clarksboro,New Jersey Dept. of Environmental Protection,340150002,840340150002
39.988842,-75.207205,2026-01-01T00:00,PM2.5,UG/M3,6.6,6.8,37,1,MON,Philadelphia Air Management Services,421010076,840421010076
39.922516,-75.186783,2026-01-01T00:00,PM2.5,UG/M3,7.2,7.2,40,1,RIT,Philadelphia Air Management Services,421010055,840421010055
39.9603,-75.1424,2026-01-01T00:00,PM2.5,UG/M3,8.6,8.4,48,1,FAB,Philadelphia Air Management Services,421010057,840421010057
39.923969,-75.122314,2026-01-01T00:00,PM2.5,UG/M3,5.5,5.4,31,1,South Camden,New Jersey Dept. of Environmental Protection,340070010,840340070010
40.00892,-75.09777,2026-01-01T00:00,PM2.5,UG/M3,10.9,12.5,54,2,LABP,Philadelphia Air Management Services,421010004,840421010004
39.991389,-75.080833,2026-01-01T00:00,PM2.5,UG/M3,8.2,6.7,46,1,NEW,Philadelphia Air Management Services,421010048,840421010048
39.989036,-75.050008,2026-01-01T00:00,PM2.5,UG/M3,2.6,1.7,14,1,Pennsauken PM,New Jersey Dept. of Environmental Protection,840340071007,840340071007
39.422272,-75.0252,2026-01-01T00:00,PM2.5,UG/M3,7.0,9.0,39,1,Millville,New Jersey Dept. of Environmental Protection,340110007,840340110007
40.054171,-74.985166,2026-01-01T00:00,PM2.5,UG/M3,8.3,7.9,46,1,TOR,Philadelphia Air Management Services,421010075,840421010075
40.515251,-74.806755,2026-01-01T00:00,PM2.5,UG/M3,4.9,5.8,27,1,Flemington,New Jersey Dept. of Environmental Protection,340190001,840340190001
40.222421,-74.763167,2026-01-01T00:00,PM2.5,UG/M3,4.4,5.8,24,1,Trenton,New Jersey Dept. of Environmental Protection,840340210008,840340210008
40.283092,-74.742645,2026-01-01T00:00,PM2.5,UG/M3,8.6,9.3,48,1,Rider University,New Jersey Dept. of Environmental Protection,340210005,840340210005
39.46487,-74.448738,2026-01-01T00:00,PM2.5,UG/M3,2.7,3.7,15,1,Brigantine,New Jersey Dept. of Environmental Protection,340010006,840340010006
