sensor_index,name,latitude,longitude
1660,NJF55F,40.721,-74.1928
2205,Duke Farms,40.544743,-74.62279
2233,"Wyndwood, Morris County, NJ",40.741486,-74.5456
2808,Lake Owassa Bear Swamp,41.14675,-74.83539
2853,@LBIWeather,39.576454,-74.23154
3305,Allendale,41.04322,-74.13172
3343,"Hopewell Township, NJ",40.312866,-74.78666
3352,Pingry School Basking Ridge - Athletic Entrance,40.619335,-74.5682
3359,Pingry School Basking Ridge - Roof,40.619423,-74.568474
3771,Laureldale,39.520634,-74.68271
4486,Beach Arlington/knjshipb2,39.64394,-74.179474
5444,Outside - Palisades Park,40.844254,-73.98846
5476,Inside - Palisades Park,40.844254,-73.98846
5480,Wyckoff,40.995197,-74.16578
7654,"Wyndwood, Harding Township, NJ",40.741478,-74.545555
7670,Lexington Ave Ewing NJ,40.25226,-74.79116
8636,Petticoat Lane,40.673313,-74.853874
11308,NJ7347,40.70923,-74.19507
11312,NJ1da4,40.46212,-74.429436
12850,Wyndwood Outdoor,40.74149,-74.54563
13005,"Allendale, NJ",41.0434,-74.13089
14919,Smokey,40.689564,-74.395935
17749,Beach Arlington/Knjshipb2,39.64385,-74.17932
18011,GW Elmora 82,40.663353,-74.23628
20105,South Jersey Medical Transportation,39.5761,-75.47567
21327,Donald Oral,39.246834,-74.6839
21605,ICC Air Monitor,40.7324,-74.141754
21745,Forest Hill Newark,40.769547,-74.16863
22479,Somerset,40.529907,-74.57553
22749,"Hoboken, NJ ",40.74699,-74.0259
23169,Wyndwood Kitchen,40.74148,-74.545715
23203,Wyndwood Studio,40.741394,-74.54562
23619,Hi Lo Acres,41.06779,-74.43961
24363,TFamily-NJ,40.529785,-74.57555
24763,Petticoat Ln,40.67309,-74.85377
26547,margate,39.325073,-74.50304
28285,Southwest Hoboken,40.736893,-74.04125
28531,"Shrewsbury, NJ",40.31684,-74.05578
29357,EOHSI 3,40.650017,-74.18334
29365,Bayway EF,40.64674,-74.21431
30963,ASW-Montague,41.291405,-74.79037
44275,Piscataway,40.574104,-74.47175
46745,Bordentown City,40.14807,-74.713356
47243,Hoboken,40.750286,-74.04257
47699,Trudy Drive Lodi NJ,40.88606,-74.073456
50925,"ItsPorkRoll.com (Southard, NJ)",40.130207,-74.21473
51845,Princeton,40.357117,-74.64863
52789,Bayway  63-Replacement,40.64674,-74.21431
53443,Crown View Villas,40.800728,-74.2435
55315,Lamont SSFRP K.O. sBA,41.048473,-74.04257
55339,121 park dr kenilworth nj 07033,40.673157,-74.303566
55387,Ship bottom,39.643677,-74.17944
55511,FC1 P3-838 Mcgillivray,40.64454,-74.22246
55523,"closter, nj",40.968437,-73.94615
55547,FCI-3 Magnolia Ave,40.665787,-74.199875
56057,Bonnell House,40.663548,-74.2088
56295,FCI 07202,40.654358,-74.202324
56329,FCI P5,40.66357,-74.20901
56523,LBIWeather,39.576527,-74.23153
56605,"Closter, NJ",40.968353,-73.94608
59027,North Princeton,40.372246,-74.65139
68313,Dodd House,40.82101,-74.20403
75605,EDIS 2nd floor,40.78518,-74.239944
75669,EDIS dining room,40.7956,-74.23374
75743,Princeton University,40.350372,-74.65047
75951,EDIS 3rd floor,40.794285,-74.23389
75971,Small Home Sensor,40.80728,-74.20113
78071,EDIS front porch,40.78581,-74.238235
87555,BET5049B,40.5862,-74.6223
