sensor_index,date_created,last_seen,name,uptime,latitude,longitude
1660,1495570317,1663947634,NJF55F,1711,40.721,-74.1928
2205,1500333215,1745847196,Duke Farms,45038,40.544743,-74.62279
2233,1500411628,1515427193,"Wyndwood, Morris County, NJ",1187,40.741486,-74.5456
2808,1502733087,1527186065,Lake Owassa Bear Swamp,220,41.14675,-74.83539
2853,1502742402,1690811834,@LBIWeather,33989,39.576454,-74.23154
3305,1505343221,1533166568,Allendale,75,41.04322,-74.13172
3343,1505410665,1768540391,"Hopewell Township, NJ",20309,40.312866,-74.78666
3352,1505410719,1580410132,Pingry School Basking Ridge - Athletic Entrance,1670,40.619335,-74.5682
3359,1505410758,1580409987,Pingry School Basking Ridge - Roof,3674,40.619423,-74.568474
3771,1507310782,1768540376,Laureldale,11735,39.520634,-74.68271
4486,1510973049,1539007862,Beach Arlington/knjshipb2,4431,39.64394,-74.179474
5444,1513286579,1533082789,Outside - Palisades Park,1997,40.844254,-73.98846
5480,1513985069,1576256091,Wyckoff,22286,40.995197,-74.16578
7654,1518389795,1535116152,"Wyndwood, Harding Township, NJ",848,40.741478,-74.545555
7670,1518458030,1590345593,Lexington Ave Ewing NJ,56097,40.25226,-74.79116
8636,1520979981,1546700070,Petticoat Lane,3643,40.673313,-74.853874
11308,1527269757,1709925666,NJ7347,12974,40.70923,-74.19507
11312,1527269786,1637161609,NJ1da4,1786,40.46212,-74.429436
12850,1531334466,1768540362,Wyndwood Outdoor,30767,40.74149,-74.54563
13005,1531432577,1559063243,"Allendale, NJ",111,41.0434,-74.13089
17749,1539539898,1571262351,Beach Arlington/Knjshipb2,2744,39.64385,-74.17932
18011,1540426520,1656523616,GW Elmora 82,83,40.663353,-74.23628
20105,1543358678,1768540432,South Jersey Medical Transportation,1156,39.5761,-75.47567
21327,1544500713,1576885436,Donald Oral,22,39.246834,-74.6839
21605,1544576243,1659817651,ICC Air Monitor,27938,40.7324,-74.141754
21745,1544588690,1680379489,Forest Hill Newark,8361,40.769547,-74.16863
22749,1544916382,1768540383,"Hoboken, NJ ",25905,40.74699,-74.0259
23619,1545945272,1710339797,Hi Lo Acres,133,41.06779,-74.43961
24363,1547146396,1555257524,TFamily-NJ,3575,40.529785,-74.57555
24763,1547573670,1768540393,Petticoat Ln,16687,40.67309,-74.85377
26547,1550077116,1639285408,margate,7765,39.325073,-74.50304
28285,1552002225,1768540473,Southwest Hoboken,11165,40.736893,-74.04125
28531,1552415408,1768540456,"Shrewsbury, NJ",29495,40.31684,-74.05578
29357,1553191068,1577201830,EOHSI 3,7868,40.650017,-74.18334
29365,1553191098,1597443606,Bayway EF,16,40.64674,-74.21431
30963,1556214554,1629480947,ASW-Montague,23209,41.291405,-74.79037
44275,1576612817,1745183141,Piscataway,15433,40.574104,-74.47175
47699,1580406295,1768540380,Trudy Drive Lodi NJ,56648,40.88606,-74.073456
50925,1585139443,1768540458,"ItsPorkRoll.com (Southard, NJ)",37746,40.130207,-74.21473
51845,1586380006,1601575983,Princeton,5447,40.357117,-74.64863
52789,1587157119,1616001714,Bayway  63-Replacement,1,40.64674,-74.21431
53443,1587679068,1671556054,Crown View Villas,22188,40.800728,-74.2435
55339,1589314226,1610156923,121 park dr kenilworth nj 07033,14974,40.673157,-74.303566
55387,1589320979,1601462925,Ship bottom,39111,39.643677,-74.17944
55511,1589485127,1719084816,FC1 P3-838 Mcgillivray,6374,40.64454,-74.22246
55523,1589485420,1596670343,"closter, nj",1806,40.968437,-73.94615
56057,1590002923,1608158638,Bonnell House,1,40.663548,-74.2088
56523,1590526619,1767027954,LBIWeather,3190,39.576527,-74.23153
59027,1593805955,1768540441,North Princeton,23451,40.372246,-74.65139
68313,1600107372,1768540403,Dodd House,66387,40.82101,-74.20403
78071,1602015660,1637011711,EDIS front porch,9118,40.78581,-74.238235
87555,1604084698,1646932290,BET5049B,3249,40.5862,-74.6223
90145,1605552958,1768540464,Crown View Villas,57496,40.8008,-74.24332
94315,1607980203,1768540458,"Raritan, NJ",7777,40.57486,-74.65635
94957,1608153857,1768540358,Bonnell House,968,40.663574,-74.209015
95823,1608590683,1656167215,Outdoor_QY,3168,40.994373,-74.116486
96583,1609190058,1768540365,Old Bridge Township,42513,40.4202,-74.2666
96741,1609267526,1684239983,McGillvery Place,33016,40.663544,-74.20889
96909,1609279281,1768540408,Rancocas_Heights,6372,39.981155,-74.84626
97217,1610060710,1720267411,1126 US 202,33494,40.574978,-74.656334
97935,1611264197,1768540394,Brookside Rd,63936,40.5406,-74.43156
98033,1611266996,1768540359,Palmyra Cove Institute for Earth Observations,924,40.008556,-75.041374
98723,1612374421,1696180792,Beach JC,1622,40.745167,-74.05944
98789,1612377360,1768540372,The name that appears on the map,10047,40.763786,-74.29301
98909,1612386043,1768540377,Newark Beth Israel Medical Center,28972,40.70973,-74.21211
98963,1612387458,1667142768,Brown's Chapel FWB Church,6968,40.70935,-74.22198
98971,1612387559,1668737280,S28E7,33499,40.70376,-74.21527
99355,1612891164,1768540395,Club Eclipse,12095,40.71593,-74.2219
99359,1612891179,1719883364,Hawthorne deli,6,40.72058,-74.21715
99365,1612891273,1637161653,S7E7C,7143,40.721146,-74.19263
99379,1612891941,1636733366,S9B3F,9249,40.72086,-74.19313
99439,1612895481,1712240929,Weequahic Park Community Center,34,40.70123,-74.19895
99449,1612895543,1753980513,Clinton Hill Early Childhood Center,22692,40.71819,-74.21154
103216,1617380597,1729184722,MexiHouse_01,2570,40.413715,-74.932724
104722,1619044516,1747458960,Cooper Plaza,17,39.940983,-75.117874
104742,1619044786,1768540447,Center For Environmental Transformation,18150,39.92167,-75.12073
104882,1619125663,1768540398,Camden Waterfront Downtown,63763,39.949615,-75.123764
106596,1621015676,1634652406,NJ1daf,1859,40.72102,-74.19281
106598,1621015680,1637161559,NJ6e5a,16390,40.46218,-74.429436
110490,1624488458,1714055992,Innovation High School,46975,40.71042,-74.08446
112218,1625261625,1768540470,VILLAGE PL,19696,41.004646,-74.16819
114593,1626387311,1700510206,Montgomery and JFK Blvd,26635,40.7282,-74.0776
118639,1628287696,1656454280,NGT Monitor 8,7,40.72863,-74.19404
118651,1628287730,1656434394,NGT Monitor 7,1,40.699417,-74.219475
